Data ID,Classification,Confidence Score,Detailed Justification
D3833,No Action,0.95,"Email shows benign characteristics with no malicious indicators: sender not known malicious, very low domain reputation issues, no spoofing, minimal temp email likelihood, no attachments or malicious content, no suspicious behaviors, legitimate SPF/DKIM/DMARC results, secure TLS connection, no malicious URLs or suspicious requests"
D3834,Warning,0.75,"Mixed signals requiring caution: sender has moderate domain reputation score (0.18), significant temp email likelihood (0.28), moderate return path reputation issues, gift card request type (common in fraud), failed SPF, content classified as none but requires monitoring due to sender reputation concerns"
D3835,Malicious,0.92,"High-risk malicious email: unknown sender with suspicious attachment behavior, high IOC count (8), significant sandbox scores (0.07 behavioral, 0.37 AMSI), executable processes triggered (winword.exe), high exfiltration score (0.83), wire transfer request, failed authentication (SPF/DKIM), revoked SSL certificate, indicators point to advanced threat"
D3836,Malicious,0.88,"Malicious classification due to: suspicious attachment metadata (0.12), elevated sandbox execution scores (0.51 behavioral, 0.37 AMSI), high exfiltration behavior (0.58), executable processes (winword.exe), document download request type, multiple security failures indicating threat activity"
D3837,No Action,0.98,"Completely benign email: all malicious indicators at zero or minimal values, excellent sender reputation, no attachments, no suspicious content, proper authentication, secure connection, no actionable requests - standard legitimate communication"
D3838,Warning,0.65,"Requires attention due to: moderate reply path reputation issues (0.82), high-risk role targeting, sensitive data request type, multiple links (4), weak TLS version (1.0), self-signed SSL certificate, failed SPF - potential social engineering attempt"
D3839,Malicious,0.85,"Malicious email with: high sender domain reputation issues (0.84), suspicious attachment metadata (0.04), elevated sandbox scores, high exfiltration behavior (0.93), executable processes (winword.exe), meeting request type used in spear phishing, DMARC failure, self-signed certificate"
D3840,Malicious,0.87,"High threat level: sender domain reputation concerns (0.83), return path known malicious, suspicious attachment behavior, elevated sandbox and exfiltration scores (0.88), executable processes (winword.exe), certificate mismatch indicating spoofing attempt"
D3841,Warning,0.70,"Moderate risk signals: sender domain reputation issues (0.24), moderate reply path reputation concerns (0.63), no malicious content but sender characteristics warrant monitoring due to reputation scores and authentication patterns"
D3842,Malicious,0.90,"Strong malicious indicators: return path known malicious, IOC detection (1), high sandbox scores (0.22 behavioral, 0.74 exfiltration), executable processes (outlook.exe), URL presence (2), legal threat request type commonly used in BEC attacks, high confidence threat"
D3843,Malicious,0.86,"Malicious classification: suspicious attachment metadata (0.10), high sandbox scores (0.72 behavioral, 0.65 exfiltration), executable processes (acrobat.exe), link click request type, multiple URLs (4), authentication failures indicate advanced threat activity"
D3844,Warning,0.72,"Requires monitoring: sender spoofing detected, bank detail update request (high-risk BEC indicator), moderate content spam score (0.32), failed DMARC, combination of spoofing and financial request warrants caution"
D3845,Malicious,0.91,"High-threat malicious email: sender spoofing detected, high suspicious attachment metadata (0.55), expired SMTP IP geo risk, VPN/MFA reset request (credential harvesting), failed authentication, expired SSL certificate, multiple threat indicators"
D3846,Malicious,0.89,"Malicious classification: suspicious attachment metadata (0.02), elevated AMSI score (0.48), high exfiltration behavior (0.52), wire transfer request, failed authentication, high HTML/text ratio (1.1), self-signed SSL certificate"
D3847,Malicious,0.94,"Strong malicious indicators: suspicious attachment metadata (0.79), AMSI detection (0.41), macro-enabled document, high exfiltration behavior, executable processes (winword.exe), document download request, high visual brand similarity (0.78) suggesting sophisticated phishing"
D3848,No Action,0.93,"Benign email characteristics: minimal threat indicators across all categories, no attachments, no suspicious behaviors, proper authentication patterns, secure connection, no actionable requests - legitimate communication"
D3849,Warning,0.68,"Moderate risk requiring attention: return path known malicious, sensitive data request type, multiple URLs (4), authentication inconsistencies warrant monitoring despite other benign indicators"
D3850,Malicious,0.83,"Malicious email indicators: sender spoofing detected, suspicious attachment metadata (0.08), elevated sandbox scores, high exfiltration behavior (0.63), executable processes (winword.exe), meeting request type, URL redirect detected, consistent threat pattern"
D3851,Malicious,0.87,"High-confidence malicious: sender known malicious, suspicious attachment behavior, elevated sandbox scores (0.16 behavioral, 0.83 exfiltration), executable processes (winword.exe), high sender VIP similarity (0.59) indicating impersonation attack"
D3852,No Action,0.96,"Benign email: sender spoofing detected but all other indicators minimal, no malicious content, no suspicious behaviors, proper authentication, secure connection, no actionable requests - likely false positive on spoofing detection"
