Data ID,Classification,Confidence Score,Detailed Justification
D4083,No Action,0.82,Clean behavioral profile with low spam score and no malicious indicators. Valid SSL with passing SPF despite failed DKIM/DMARC suggests configuration issues rather than threat.
D4084,Malicious,0.91,Known malicious sender with extreme metadata score (0.959) and AMSI detection (0.735). Legal threat request type with failed DMARC confirms targeted executive impersonation attack.
D4085,Warning,0.75,Link click request with moderate sandbox score (0.261) and exfiltration behavior (0.523). Failed SPF with Acrobat execution warrants caution despite no malicious attachments.
D4086,Spam,0.83,Bank detail update with extreme temporary email (0.519) and high return path issues (0.644). Certificate mismatch with QR code detected confirms financial fraud attempt.
D4087,Malicious,0.95,Extreme metadata score (0.998) with PowerShell execution and VPN/MFA reset request. Self-signed SSL with marketing keywords detected confirms credential theft campaign.
D4088,Warning,0.78,Multiple process executions (Excel, cmd, PowerShell) with high exfiltration score (0.682). Valid SSL but pattern suggests potentially unwanted activity requiring investigation.
D4089,No Action,0.81,High sender reputation (0.714) with expired SSL but clean attachments. Reply path difference with passing SPF/DMARC suggests outdated infrastructure rather than threat.
D4090,Malicious,0.88,Six YARA matches with self-signed SSL and high reply path reputation issues (0.991). Outlook execution with image-only email confirms sophisticated phishing.
D4091,No Action,0.79,Gift card request with clean behavioral profile. Valid SSL with passing SPF and low risk scores suggest legitimate promotional content.
D4092,No Action,0.77,Meeting request with minimal threat indicators. Failed SPF but valid SSL and low behavioral scores indicate email configuration issues.
D4093,Spam,0.82,High spam content (0.782) with domain known malicious. Failed DKIM/SPF with softfail indicates bulk spam campaign rather than targeted attack.
D4094,Warning,0.74,Self-signed SSL with IOC detected but low behavioral scores. Failed authentication trinity warrants monitoring despite minimal immediate threat.
D4095,Malicious,0.87,Extreme metadata score (0.692) with PowerShell execution. Failed DMARC with moderate behavioral scores confirms malware delivery attempt.
D4096,No Action,0.80,VPN/MFA reset with clean attachment profile. Valid SSL with passing SPF/DMARC despite failed DKIM suggests legitimate IT communication.
D4097,No Action,0.76,Valid SSL with URL decoded spoof detected but minimal behavioral scores. Single URL with passing SPF indicates false positive on detection.
D4098,Warning,0.73,Sender spoofing detected with return path known malicious. Failed SPF/DMARC but low scores suggest compromised account rather than active attack.
