Data ID,Classification,Confidence Score,Detailed Justification
D3433,Malicious,0.88,Email shows critical threats with very high exfiltration score (0.98) and high-risk processes (acrobat/cmd/curl/rundll32). AMSI score moderate (0.53) and embedded file present. Process combination with exfiltration indicates malware.
D3434,Warning,0.80,Email contains moderate risk indicators including executable processes (winword/powershell/regsvr32) and DKIM failure. Moderate behavioral sandbox score (0.18) and AMSI score (0.68) suggest potentially risky but not confirmed malicious content.
D3435,No Action,0.95,Email appears legitimate with no malicious indicators detected. All attachment scans clean sender not known malicious legal threat category likely legitimate business communication. SPF softfail is minor concern but overall safe.
D3436,No Action,0.85,Email shows minimal risk despite unscannable attachment. Very low threat scores across all metrics sender reputation good and no malicious behaviors detected. Unscannable file raises caution but insufficient evidence for action.
D3437,No Action,0.90,Clean email with no malicious indicators. No attachments no suspicious behaviors and good sender reputation. DKIM/DMARC failures are authentication issues but no malicious content detected.
D3438,No Action,0.88,Invoice verification email appears legitimate. No malicious files or behaviors detected good sender reputation scores. URL present but reputation clean. Standard business communication.
D3439,Malicious,0.92,High risk email with multiple red flags: high metadata suspicious score (0.88) network call on open behavior detected high exfiltration score (0.57) and suspicious processes. DKIM failure and self-signed SSL certificate indicate phishing attempt.
D3440,Warning,0.73,Email has very high sender domain reputation score (0.93) self-signed SSL certificate and high URL reputation (0.63). While no malicious files detected the reputation indicators and self-signed cert require caution.
D3441,No Action,0.90,Clean email with minimal risk indicators. Three URLs detected but all have good reputation no malicious files and standard TLS encryption. Safe business communication.
D3442,Warning,0.70,Meeting request with some concerning indicators: executable processes detected (winword) moderate exfiltration behavior (0.20) and certificate mismatch. While not definitively malicious requires caution due to social engineering potential.
D3443,Spam,0.85,Sensitive data request with high sender temp email likelihood (0.81) and poor return path reputation. DKIM failure and moderate risk indicators suggest spam/phishing attempt rather than legitimate request.
D3444,Malicious,0.88,Email shows multiple malicious indicators: exploit pattern detected high exfiltration score (0.54) suspicious processes (excel/cmd/powershell) and failed authentication. Pattern consistent with malware delivery attempt.
D3445,No Action,0.81,Email has sender spoofing flag but actually shows minimal threats. Very low metadata score no malicious files four URLs with good reputation. Spoofing flag appears to be false positive given overall clean profile.
D3446,No Action,0.92,Link click request appears legitimate with very low threat scores across all metrics. No malicious indicators authentication passes and safe domain reputation.
D3447,Malicious,0.90,High risk email with significant threats: high metadata suspicious score (0.25) high behavioral sandbox score (0.55) and exfiltration behavior (0.28). Failed DKIM and QR code detected indicate sophisticated phishing.
D3448,Malicious,0.85,Invoice payment request with high behavioral sandbox score (0.62) moderate exfiltration behavior (0.39) and suspicious processes. Four URLs detected pattern indicates BEC/invoice fraud attempt.
D3449,No Action,0.79,Email with domain known malicious flag but extremely low threat scores throughout. Metadata score minimal (0.0007) no malicious behaviors SMTP geo moderate (0.28). Domain flag likely false positive given clean profile.
D3450,No Action,0.88,Meeting request appears legitimate despite some URL concerns. Very low threat scores no malicious files and passing authentication. URLs present but clean reputation.
