Data ID,Classification,Confidence Score,Detailed Justification
D3683,No Action,0.82,Legal threat with moderate temp email likelihood (0.45) but very low metadata score (0.003) and minimal threat indicators. Failed DKIM but overall clean profile suggests legitimate legal communication.
D3684,Malicious,0.91,Link click phishing with high behavioral sandbox score (0.79) very high exfiltration score (0.78) macro-enabled document and three malicious components detected. Sophisticated attack with evasive capabilities.
D3685,Spam,0.78,Bank detail update with sender spoofing detected but minimal actual threats. Very low metadata score and no URLs present. Pattern suggests spam campaign rather than targeted attack.
D3686,Malicious,0.89,VPN/MFA reset with high metadata score (0.11) high behavioral sandbox score (0.51) high AMSI score (0.50) domain known malicious. Clear credential harvesting attempt with dangerous processes.
D3687,Malicious,0.85,Wire transfer fraud with high temp email likelihood (0.41) high exfiltration score (0.48) QR code detected. Failed authentication and pattern indicates BEC wire transfer scam.
D3688,Malicious,0.93,Document download with packer detected high metadata score (0.59) very high exfiltration score (0.91) and QR code detected. Advanced malware campaign with evasion techniques.
D3689,Warning,0.78,Email with return path known malicious flag and high site similarity (0.55) requires monitoring. While threat scores are low the known malicious return path presents elevated risk.
D3690,Warning,0.75,Sensitive data request with reply path known malicious and failed SPF/DKIM authentication. While other threats minimal the sensitive data request combined with malicious reply path requires caution.
D3691,Warning,0.74,Meeting request with moderate exfiltration score (0.21) but very low threat scores overall. Failed DKIM suggests compromised sender rather than direct malicious activity.
D3692,Malicious,0.87,Email with sender spoofing packer detected very high metadata score (0.83) return path known malicious YARA matches. Certificate mismatch confirms evasive attack.
D3693,No Action,0.83,Clean email with high sender reputation (0.58) but very low threat scores throughout. No malicious behaviors detected appears legitimate.
D3694,Malicious,0.88,Legal threat with ActiveX objects detected very high exfiltration score (0.93) high behavioral score (0.24). Pattern indicates malware delivery through legal social engineering.
D3695,Malicious,0.90,Link click phishing with packer detected very high sender reputation (0.78) high exfiltration score (0.81) high metadata score (0.18). Sophisticated brand impersonation attack.
D3696,Spam,0.77,Bank detail update from return path known malicious with SMTP IP geo high (0.60) failed SPF. Pattern indicates spam bank scam attempt.
D3697,Warning,0.75,VPN/MFA reset with very high sender reputation (0.91) high content spam score (0.53) but minimal actual threats. Four URLs require monitoring.
D3698,Malicious,0.95,Wire transfer with extremely high metadata score (0.999) very high exfiltration score (0.96) QR code detected. Critical malware with data theft capabilities.
D3699,Malicious,0.86,Document download with high metadata score (0.27) four YARA matches high exfiltration score (0.72) self-signed certificate QR code detected. Advanced persistent threat.
D3700,No Action,0.79,Clean email with SMTP IP geo very high (0.998) but minimal threat scores. Certificate mismatch but no malicious content detected.
