Data ID,Classification,Confidence Score,Detailed Justification
D3933,Warning,0.78,VPN/MFA reset request with moderate exfiltration score (0.468) and PowerShell execution. However, passing SPF and low spam score (0.012) suggest potentially legitimate but risky activity. Self-signed SSL warrants caution.
D3934,Malicious,0.92,Wire transfer request with extremely high AMSI score (0.701) and spam content (0.917). Failed SPF/DKIM/DMARC authentication trinity with high SMTP geo-risk (0.717) confirms business email compromise attempt.
D3935,Warning,0.75,Document download request with expired SSL certificate and moderate exfiltration behavior (0.556). Unscanned attachment present but passing authentication and low spam score suggest potentially risky content rather than confirmed malicious.
D3936,No Action,0.90,Clean email with no malicious indicators. All attachment scores are zero, no executable content. Failed SPF/DKIM appears to be configuration issue. Self-signed SSL but no concerning behavioral patterns.
D3937,Malicious,0.88,Sender marked as known malicious with sensitive data request. SMTP IP known malicious with URL shortener detected. Valid SSL but sender reputation overrides infrastructure legitimacy.
D3938,Malicious,0.85,Return path mismatch with SMTP IP known malicious and high geo-risk (0.777). Meeting request appears to be social engineering with infrastructure completely compromised despite passing authentication.
D3939,Warning,0.72,Moderate exfiltration score (0.559) with no specific request type. Failed DKIM but passing SPF. Low severity scores suggest potential risk without confirmed malicious intent.
D3940,Spam,0.80,High temporary email likelihood (0.231) with elevated spam content (0.577). Failed SPF with no malicious attachments indicates bulk spam campaign rather than targeted attack.
D3941,Malicious,0.95,Legal threat with extremely high AMSI (0.793) and metadata scores (0.534). Self-signed SSL with YARA matches and high behavioral sandbox score confirms sophisticated malware.
D3942,Warning,0.70,Link click request with very high exfiltration score (0.782) via Acrobat. Expired SSL but low severity scores suggest potentially compromised PDF without confirmed payload.
D3943,Spam,0.82,Bank detail update with high temporary email (0.440) and extreme return path reputation issues (0.992). No malicious attachments but clear fraud attempt pattern.
D3944,Malicious,0.91,VPN/MFA reset with extreme metadata score (0.654) and high URL reputation risk (0.849). PowerShell execution with IOC match and spam content (0.659) confirms credential theft.
D3945,Malicious,0.89,Wire transfer request with extreme sandbox execution time (1.797s) and high exfiltration (0.778). Failed DMARC with SMTP geo-risk confirms sophisticated financial fraud.
D3946,Malicious,0.82,Document download with extreme exfiltration score (0.905). Failed DKIM/DMARC with moderate spam content. Pattern indicates malware delivery despite low attachment scores.
D3947,No Action,0.85,Clean profile with minimal risk indicators. Expired SSL is only concern. No malicious attachments or concerning request types suggest legitimate communication.
D3948,Spam,0.79,Sensitive data request with high spam content (0.611). Failed SPF/DMARC but no malicious attachments suggests phishing attempt without technical sophistication.
D3949,Warning,0.74,Meeting request with certificate mismatch and URL shortener. Marketing keywords detected but low severity scores suggest potentially unwanted rather than malicious.
D3950,Malicious,0.93,Packer detected with obfuscated attachment and extreme metadata score (0.912). Failed authentication with moderate spam content confirms malware dropper.
