Data ID,Classification,Confidence Score,Detailed Justification
D3533,Malicious,0.89,Wire transfer request with critical indicators: high metadata score (0.36) very high exfiltration score (0.98) return path mismatch high content spam score (0.84). Failed DKIM and pattern indicates BEC wire transfer fraud.
D3534,Malicious,0.94,Document download with extreme risk: very high metadata score (0.94) high behavioral score (0.12) high exfiltration score (0.52) four embedded files. Failed authentication confirms malware delivery attempt.
D3535,No Action,0.88,Clean email with minimal risk indicators. No malicious files or behaviors detected low threat scores throughout. Failed DKIM but otherwise safe communication.
D3536,No Action,0.85,Sensitive data request but with extremely low threat scores. SMTP IP geo moderate (0.40) but no other concerning indicators. Failed authentication but appears legitimate.
D3537,Warning,0.76,Meeting request with mixed signals: return path mismatch unsubscribe link present high exfiltration score (0.57). Self-signed certificate but insufficient evidence for malicious classification.
D3538,Malicious,0.86,High risk email with executable attachment very high exfiltration score (0.99) moderate AMSI score. Failed DMARC and pattern indicates malware with data theft capabilities.
D3539,No Action,0.82,Clean email with high SMTP IP geo risk (0.84) but all other indicators minimal. Expired SSL certificate but no malicious content detected.
D3540,No Action,0.82,Legal threat category but with very low actual threat scores. Metadata score minimal (0.0001) no malicious files or behaviors. High return path reputation (0.60) is positive indicator.
D3541,Warning,0.78,Link click request with moderate exfiltration score (0.75) QR code present but marked non-malicious. High site similarity (0.99) concerning but minimal other threats.
D3542,Spam,0.72,Bank detail update from return path known malicious. Two URLs present but overall low threat scores. Pattern suggests spam campaign rather than targeted attack.
D3543,Malicious,0.91,VPN/MFA reset scam with critical indicators: executable attachment high AMSI score (0.82) SMTP IP geo very high (0.94) reply path reputation very high (0.92). Clear credential theft attempt.
D3544,Malicious,0.93,Wire transfer fraud with extreme risks: very high metadata score (0.86) high AMSI score (0.91) macro-enabled document SMTP IP known malicious. Sophisticated BEC attack.
D3545,Malicious,0.92,Document download malware: high metadata score (0.72) executable attachment high behavioral score (0.35) long sandbox execution time (139). Self-signed certificate confirms malicious intent.
D3546,No Action,0.79,Clean email with return path mismatch but very low threat scores. Failed SPF/DMARC but no malicious content or behaviors detected.
D3547,No Action,0.83,Sensitive data request with high reply path reputation (0.81) but minimal other risks. Bulk message indicator present but appears legitimate business communication.
D3548,No Action,0.81,Meeting request with minimal actual risks. SMTP IP geo very low (0.00001) URL spoof detected flag present but no malicious behaviors. Failed SPF/DMARC temperror are configuration issues.
