Data ID,Classification,Confidence Score,Detailed Justification
D4033,Warning,0.74,Wire transfer request with moderate exfiltration score (0.307) and failed DKIM temperror. Low behavioral scores with passing DMARC and valid SSL suggest potentially risky transaction request without confirmed malware.
D4034,Malicious,0.86,Known malicious sender with ActiveX objects detected and document download request. High AMSI score (0.459) with failed SPF/DMARC confirms malware delivery attempt despite low spam content.
D4035,No Action,0.89,High sender reputation (0.917) with softfail SPF but passing DMARC. Clean attachment profile with valid SSL and no concerning behavioral indicators suggest legitimate communication.
D4036,No Action,0.85,Sensitive data request but clean behavioral profile. Self-signed SSL but passing SPF with minimal risk scores suggest legitimate internal communication.
D4037,Malicious,0.93,Extreme metadata score (0.969) with executable attachment and malicious component detected. Failed DMARC with high spam content (0.609) confirms sophisticated malware campaign.
D4038,Warning,0.73,Reply path known malicious but low behavioral scores. Failed DKIM/DMARC with valid SSL and minimal threat indicators suggest compromised infrastructure rather than active attack.
D4039,Spam,0.82,Extreme temporary email (0.635) with high return path reputation issues (0.641). No malicious attachments but pattern indicates bulk spam campaign.
D4040,Malicious,0.91,Legal threat with 10 IOCs detected and high behavioral sandbox score (0.657). Two embedded files with failed authentication confirms targeted executive attack.
D4041,Malicious,0.89,Link click request with return path mismatch and high exfiltration score (0.669). Failed authentication trinity with Acrobat execution confirms PDF-based phishing.
D4042,Spam,0.84,Bank detail update with extreme temporary email (0.848) and revoked SSL certificate. Three URLs detected but low behavioral scores suggest financial fraud spam.
D4043,Warning,0.78,VPN/MFA reset with self-signed SSL and URL shortener. PowerShell execution but low behavioral scores and softfail SPF suggest potentially risky but not confirmed malicious.
D4044,Malicious,0.87,Wire transfer request with extreme metadata score (0.641) and 8 YARA matches. Valid SSL but pattern confirms business email compromise attempt.
D4045,Malicious,0.90,Document download with extreme return path reputation issues (0.995) and high exfiltration score (0.887). Expired SSL with unsubscribe link confirms malware distribution.
D4046,No Action,0.83,High sender reputation with expired SSL certificate but clean attachment profile. Unsubscribe link present suggests marketing email rather than threat.
D4047,No Action,0.81,Sensitive data request with minimal risk indicators. Valid SSL with passing SPF and no concerning behavioral patterns suggest legitimate communication.
D4048,Malicious,0.92,Meeting request with extreme spam content (0.933) and high SMTP geo-risk. Valid SSL but pattern confirms sophisticated social engineering attack.
D4049,Warning,0.77,Failed SPF with YARA match and four embedded files. However, low behavioral scores and urgency keywords suggest suspicious but not definitively malicious.
D4050,No Action,0.80,Failed SPF with DMARC temperror but clean attachment profile. Valid SSL with moderate scores suggest configuration issues rather than threat.
